IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,1,1950,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,148281550.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,2,1951,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,150598453.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,3,1952,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,152941727.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,4,1953,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,155451199.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,5,1954,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,158205873.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,6,1955,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,161136450.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,7,1956,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,164063412.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,8,1957,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,166949121.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,9,1958,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,170147101.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,10,1959,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,173324608.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,11,1960,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,176188578.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,12,1961,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,179087279.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,13,1962,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,181917809.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,14,1963,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,184649874.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,15,1964,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,187277379.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,16,1965,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,189703283.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,17,1966,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,191830975.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,18,1967,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,193782438.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,19,1968,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,195743428.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,20,1969,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,197859329.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,21,1970,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,200328340.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,22,1971,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,202907917.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,23,1972,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,205238390.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,24,1973,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,207314765.00
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,840,United States of America,US,USA,25,1974,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,209277969.00
